2026-08-22 20:10:29,490 | INFO     | __main__ | Avro consumer started, waiting for messages...
2026-08-22 20:10:37,040 | INFO     | __main__ | key=key-1 value={'message': 'hello from avro producer'}
2026-08-22 20:10:37,042 | WARNING  | __main__ | Skipping non-Avro message: Expecting data framing of length 6 bytes or more but total data size is 5 bytes. This message was not produced with a Confluent Schema Registry serializer
2026-08-22 20:10:37,043 | WARNING  | __main__ | Skipping non-Avro message: Expecting data framing of length 6 bytes or more but total data size is 4 bytes. This message was not produced with a Confluent Schema Registry serializer
2026-08-22 20:10:37,044 | WARNING  | __main__ | Skipping non-Avro message: Expecting data framing of length 6 bytes or more but total data size is 4 bytes. This message was not produced with a Confluent Schema Registry serializer
2026-08-22 20:10:37,045 | WARNING  | __main__ | Skipping non-Avro message: Expecting data framing of length 6 bytes or more but total data size is 4 bytes. This message was not produced with a Confluent Schema Registry serializer
2026-08-22 20:10:37,045 | WARNING  | __main__ | Skipping non-Avro message: Expecting data framing of length 6 bytes or more but total data size is 4 bytes. This message was not produced with a Confluent Schema Registry serializer
2026-08-22 20:10:37,046 | WARNING  | __main__ | Skipping non-Avro message: Expecting data framing of length 6 bytes or more but total data size is 4 bytes. This message was not produced with a Confluent Schema Registry serializer
2026-08-22 20:10:37,046 | WARNING  | __main__ | Skipping non-Avro message: Expecting data framing of length 6 bytes or more but total data size is 4 bytes. This message was not produced with a Confluent Schema Registry serializer
2026-08-22 20:10:37,047 | WARNING  | __main__ | Skipping non-Avro message: Expecting data framing of length 6 bytes or more but total data size is 4 bytes. This message was not produced with a Confluent Schema Registry serializer
2026-08-22 20:10:37,048 | WARNING  | __main__ | Skipping non-Avro message: Expecting data framing of length 6 bytes or more but total data size is 4 bytes. This message was not produced with a Confluent Schema Registry serializer
2026-08-22 20:10:37,048 | WARNING  | __main__ | Skipping non-Avro message: Expecting data framing of length 6 bytes or more but total data size is 4 bytes. This message was not produced with a Confluent Schema Registry serializer
2026-08-22 20:10:37,049 | WARNING  | __main__ | Skipping non-Avro message: Expecting data framing of length 6 bytes or more but total data size is 4 bytes. This message was not produced with a Confluent Schema Registry serializer
2026-08-22 20:10:37,049 | WARNING  | __main__ | Skipping non-Avro message: Expecting data framing of length 6 bytes or more but total data size is 4 bytes. This message was not produced with a Confluent Schema Registry serializer
2026-08-22 20:10:37,049 | WARNING  | __main__ | Skipping non-Avro message: Expecting data framing of length 6 bytes or more but total data size is 4 bytes. This message was not produced with a Confluent Schema Registry serializer
2026-08-22 20:10:37,050 | WARNING  | __main__ | Skipping non-Avro message: Expecting data framing of length 6 bytes or more but total data size is 4 bytes. This message was not produced with a Confluent Schema Registry serializer
2026-08-22 20:10:37,050 | WARNING  | __main__ | Skipping non-Avro message: Expecting data framing of length 6 bytes or more but total data size is 4 bytes. This message was not produced with a Confluent Schema Registry serializer
2026-08-22 20:10:37,051 | WARNING  | __main__ | Skipping non-Avro message: Expecting data framing of length 6 bytes or more but total data size is 4 bytes. This message was not produced with a Confluent Schema Registry serializer
2026-08-22 20:10:37,051 | WARNING  | __main__ | Skipping non-Avro message: Expecting data framing of length 6 bytes or more but total data size is 4 bytes. This message was not produced with a Confluent Schema Registry serializer
2026-08-22 20:10:37,051 | WARNING  | __main__ | Skipping non-Avro message: Expecting data framing of length 6 bytes or more but total data size is 4 bytes. This message was not produced with a Confluent Schema Registry serializer
2026-08-22 20:10:37,052 | WARNING  | __main__ | Skipping non-Avro message: Expecting data framing of length 6 bytes or more but total data size is 4 bytes. This message was not produced with a Confluent Schema Registry serializer
2026-08-22 20:10:37,052 | WARNING  | __main__ | Skipping non-Avro message: Expecting data framing of length 6 bytes or more but total data size is 4 bytes. This message was not produced with a Confluent Schema Registry serializer
2026-08-22 20:10:37,052 | WARNING  | __main__ | Skipping non-Avro message: Expecting data framing of length 6 bytes or more but total data size is 4 bytes. This message was not produced with a Confluent Schema Registry serializer
